id,estimate_OT
0,3992.1833
1,4024.0488
2,4016.9897
3,4015.0032
4,4014.9238
5,3970.6565
6,4014.7876
7,4003.4133
8,3980.6387
9,3980.939
10,3955.0425
11,3970.9756
12,3936.1462
13,3877.5264
14,3853.128
15,3855.6265
16,3841.313
17,3840.993
18,3811.223
19,3799.501
20,3851.7407
21,3844.2297
22,3829.5935
23,3817.861
24,3822.7498
25,3853.481
26,3857.345
27,3870.093
28,3880.0193
29,3930.771
30,3967.9888
31,3946.5168
32,3943.7405
33,3882.3574
34,3821.1914
35,3841.991
36,3836.9075
37,3826.7068
38,3832.5317
39,3851.387
40,3867.5625
41,3851.7068
42,3827.6328
43,3823.8633
44,3846.989
45,3863.2673
46,3858.0732
47,3895.466
48,3901.0872
49,3871.8213
50,3865.3948
51,3857.119
52,3838.664
53,3834.2742
54,3812.515
55,3887.388
56,3899.0503
57,3894.8267
58,3977.0967
59,4002.1118
60,4004.4504
61,3983.0095
62,3998.8845
63,4041.6873
64,4004.8267
65,3972.1091
66,3961.6462
67,3966.0747
68,3871.05
69,3837.6475
70,3818.7659
71,3782.6763
72,3800.1418
73,3758.729
74,3701.9514
75,3717.7114
76,3680.541
77,3721.6372
78,3720.4043
79,3742.1897
80,3786.6633
81,3800.774
82,3784.901
83,3806.3428
84,3851.8035
85,3849.9343
86,3842.8079
87,3798.4578
88,3766.5374
89,3791.2258
90,3767.187
91,3760.355
92,3741.89
93,3698.2258
94,3705.1453
95,3699.8567
96,3688.8625
97,3671.2827
98,3721.2039
99,3715.7485
100,3707.376
101,3706.66
102,3696.511
103,3704.0986
104,3683.1826
105,3677.1423
106,3712.4382
107,3681.954
108,3651.1912
109,3644.5586
110,3622.4116
111,3547.8103
112,3530.3035
113,3481.9744
114,3484.5425
115,3498.3167
116,3500.9539
117,3543.22
118,3561.6836
119,3556.1943
120,3578.534
121,3569.684
122,3589.837
123,3637.5105
124,3635.5908
125,3633.6646
126,3629.6426
127,3594.4934
128,3596.3662
129,3590.0796
130,3599.9954
131,3578.9377
132,3556.6677
133,3554.8506
134,3563.9714
135,3539.1133
136,3548.4424
137,3537.2559
138,3512.7085
139,3515.8738
140,3490.3135
141,3495.4824
142,3489.267
143,3458.998
144,3415.312
145,3403.9065
146,3393.669
147,3403.4724
148,3425.8115
149,3423.2434
150,3391.951
151,3372.264
152,3357.4446
153,3357.5461
154,3360.1208
155,3338.1428
156,3348.5583
157,3357.9685
158,3351.2776
159,3345.8223
160,3347.1492
161,3405.7732
162,3425.889
163,3400.097
164,3390.6653
165,3363.941
166,3346.929
167,3314.3223
168,3308.3376
169,3290.8855
170,3296.7063
171,3274.6643
172,3256.314
173,3266.353
174,3214.4512
175,3261.3037
176,3276.7515
177,3236.718
178,3250.5378
179,3268.4827
180,3332.8738
181,3345.2063
182,3310.8892
183,3273.5713
184,3247.4998
185,3234.4338
186,3205.292
187,3224.7876
188,3285.9304
189,3317.941
190,3347.0957
191,3387.9353
192,3404.085
193,3458.405
194,3487.5918
195,3491.8782
196,3481.0208
197,3500.222
198,3456.7832
199,3514.7102
200,3535.757
201,3520.6628
202,3546.0493
203,3515.6643
204,3500.495
205,3522.876
206,3553.225
207,3582.0862
208,3560.5857
209,3542.194
210,3545.1914
211,3588.8052
212,3566.934
213,3579.0369
214,3571.9573
215,3534.9917
216,3514.8167
217,3526.8738
218,3500.6047
219,3514.4888
220,3521.7266
221,3565.936
222,3575.0872
223,3560.6233
224,3533.969
225,3541.1677
226,3517.8572
227,3518.9067
228,3500.1543
229,3542.307
230,3518.9731
231,3549.9895
232,3563.797
233,3543.1794
234,3532.003
235,3516.0312
236,3522.2559
237,3542.5476
238,3567.7712
239,3620.4548
240,3611.5215
241,3658.3708
242,3658.4434
243,3647.3152
244,3671.7463
245,3669.4324
246,3665.7742
247,3658.5693
248,3614.0837
249,3626.964
250,3662.9912
251,3669.065
252,3665.172
253,3667.5344
254,3627.389
255,3592.3965
256,3619.5073
257,3606.5657
258,3615.3066
259,3592.9336
260,3568.9795
261,3573.7554
262,3585.1765
263,3586.8708
264,3595.9375
265,3581.4258
266,3551.2192
267,3558.2542
268,3544.429
269,3547.1804
270,3554.6807
271,3549.0479
272,3545.72
273,3518.171
274,3505.7815
275,3493.8467
276,3480.0183
277,3487.703
278,3472.309
279,3472.3606
280,3479.435
281,3476.5767
282,3471.28
283,3463.2402
284,3447.4592
285,3430.087
286,3447.9968
287,3443.3708
288,3467.0403
289,3478.2646
290,3472.2827
