id,estimate_OT
0,4024.9482
1,4038.48
2,4051.0193
3,4027.0503
4,3965.3298
5,3933.1208
6,3966.0168
7,3974.0432
8,3949.4473
9,3953.6074
10,3932.1372
11,3919.0015
12,3929.5212
13,3902.0725
14,3859.519
15,3854.949
16,3855.9282
17,3855.7417
18,3843.8972
19,3822.9495
20,3846.8828
21,3847.998
22,3849.0574
23,3829.1763
24,3816.0728
25,3849.2544
26,3857.1555
27,3830.558
28,3874.96
29,3901.3562
30,3950.2927
31,3959.769
32,3919.5286
33,3888.32
34,3855.927
35,3819.2605
36,3824.5452
37,3816.1306
38,3824.6858
39,3866.0227
40,3834.1406
41,3840.9973
42,3829.3428
43,3815.3394
44,3815.949
45,3828.865
46,3840.6716
47,3861.2822
48,3881.8604
49,3874.3613
50,3854.2378
51,3827.7708
52,3842.8647
53,3817.1018
54,3806.311
55,3850.9243
56,3882.56
57,3900.4734
58,3966.017
59,4016.0564
60,4012.0205
61,3977.28
62,3967.4382
63,4021.3474
64,3984.6887
65,3945.2644
66,3948.6167
67,3951.447
68,3946.725
69,3863.3281
70,3837.921
71,3814.1926
72,3812.0327
73,3805.8728
74,3765.9102
75,3730.031
76,3736.9348
77,3740.6235
78,3747.4712
79,3809.3542
80,3778.3914
81,3835.5684
82,3795.4666
83,3784.9575
84,3827.9382
85,3829.011
86,3793.9
87,3782.3628
88,3721.8057
89,3747.0376
90,3737.114
91,3723.3298
92,3732.9426
93,3717.2598
94,3711.821
95,3707.2263
96,3692.6614
97,3690.42
98,3696.46
99,3728.859
100,3719.972
101,3722.122
102,3714.5227
103,3704.5696
104,3696.5786
105,3693.8367
106,3704.0337
107,3697.9324
108,3664.04
109,3641.3496
110,3627.8586
111,3580.9365
112,3538.727
113,3499.32
114,3482.9465
115,3523.516
116,3533.8118
117,3560.0818
118,3602.4993
119,3579.4346
120,3595.1367
121,3549.2188
122,3561.4697
123,3609.3528
124,3596.748
125,3591.154
126,3594.9578
127,3586.4514
128,3570.0415
129,3569.9136
130,3592.7441
131,3581.6555
132,3556.8982
133,3559.5906
134,3569.2266
135,3554.2856
136,3545.3784
137,3549.4688
138,3529.9785
139,3521.4768
140,3519.0364
141,3502.5012
142,3491.3784
143,3486.6555
144,3452.936
145,3422.691
146,3409.7717
147,3428.2153
148,3435.0024
149,3451.1333
150,3427.5605
151,3367.5835
152,3383.1226
153,3347.3086
154,3326.9094
155,3334.6162
156,3347.0562
157,3367.4128
158,3314.448
159,3290.3574
160,3338.9863
161,3398.2268
162,3418.2659
163,3391.816
164,3386.0237
165,3375.757
166,3354.9324
167,3315.7302
168,3285.5652
169,3279.5034
170,3279.1892
171,3284.3574
172,3266.394
173,3267.8936
174,3253.9421
175,3240.9797
176,3269.101
177,3275.2534
178,3251.0261
179,3268.1736
180,3310.493
181,3346.1382
182,3348.1228
183,3313.1946
184,3255.8984
185,3232.189
186,3213.1895
187,3192.8152
188,3207.9387
189,3290.5852
190,3339.0571
191,3380.262
192,3381.3047
193,3428.7607
194,3438.4062
195,3465.163
196,3413.434
197,3427.2954
198,3500.3691
199,3466.765
200,3466.9004
201,3487.0432
202,3509.5806
203,3505.5266
204,3520.2456
205,3439.1367
206,3542.8926
207,3611.839
208,3584.5881
209,3557.7644
210,3535.4265
211,3567.0256
212,3585.0251
213,3555.6953
214,3552.5046
215,3560.7466
216,3546.1309
217,3529.751
218,3517.149
219,3512.4631
220,3519.053
221,3538.5251
222,3561.1406
223,3557.5737
224,3549.699
225,3532.1934
226,3514.5232
227,3505.2852
228,3504.8713
229,3516.1484
230,3538.2476
231,3536.6763
232,3568.361
233,3562.3687
234,3531.924
235,3521.6028
236,3504.018
237,3501.8252
238,3541.5364
239,3603.113
240,3623.6455
241,3642.7166
242,3640.5996
243,3617.489
244,3630.5054
245,3620.669
246,3624.4956
247,3637.4463
248,3627.3022
249,3625.5073
250,3641.7227
251,3684.321
252,3660.906
253,3655.4402
254,3665.0571
255,3630.7402
256,3609.774
257,3613.8062
258,3601.773
259,3607.4688
260,3600.3638
261,3588.8037
262,3584.4443
263,3590.6252
264,3608.253
265,3588.3542
266,3567.2295
267,3555.9104
268,3553.08
269,3556.4482
270,3550.9033
271,3545.5737
272,3538.2354
273,3518.7886
274,3492.6704
275,3493.0603
276,3477.6814
277,3474.0005
278,3478.4775
279,3486.747
280,3474.6401
281,3476.7988
282,3471.7456
283,3468.559
284,3453.0908
285,3433.3623
286,3438.485
287,3453.3564
288,3487.1838
289,3480.4233
290,3464.84
291,3475.9595
292,3501.4377
293,3503.7927
294,3520.364
295,3519.4316
296,3494.7065
297,3449.4604
298,3407.0916
299,3396.8203
300,3382.4758
301,3360.6406
302,3388.8713
303,3428.425
304,3388.1182
305,3382.0474
306,3341.8108
307,3321.332
308,3319.2493
309,3329.8174
310,3312.848
311,3316.7502
312,3307.203
313,3339.633
314,3349.6184
315,3362.682
316,3367.9038
317,3344.701
318,3340.4766
319,3327.3904
320,3331.6736
321,3324.997
322,3308.6191
323,3293.9368
324,3322.8105
325,3318.194
326,3279.3738
327,3270.0186
328,3258.8455
329,3250.775
330,3209.1367
331,3198.4888
332,3192.076
333,3194.3237
334,3177.4788
335,3167.0493
336,3190.4688
337,3196.3787
338,3221.1106
339,3258.8574
340,3371.582
341,3450.1543
342,3616.526
343,3880.003
344,4151.2983
345,4155.7188
346,4059.4153
347,3944.7458
348,3878.8806
349,3762.4065
350,3748.0442
351,3731.0706
352,3840.4001
353,3857.7354
354,3856.0327
355,3802.1807
356,3796.4526
357,3823.4858
358,3896.4111
359,3938.9756
360,3943.1802
361,3953.734
362,3956.2483
363,3928.0105
364,3991.4744
365,3996.831
366,4042.3643
367,4093.6943
368,4069.7932
369,4104.4604
370,4053.3179
371,4056.0125
372,4013.0037
373,4003.274
374,3942.0674
375,3963.6133
376,3930.984
377,3931.8906
378,3838.7612
379,3789.8052
380,3829.7522
381,3875.181
382,3910.6675
383,3862.3823
384,3918.8452
385,3928.1096
386,3934.4504
387,3963.7942
388,3966.0642
389,4018.3113
390,3987.4146
391,3986.4116
392,3993.6243
393,3937.8015
394,3902.4849
395,3898.8801
396,3905.812
