id,estimate_OT
0,17799.65
1,17847.938
2,17867.367
3,17862.264
4,17856.023
5,17786.867
6,17733.5
7,17629.414
8,17520.299
9,17410.482
10,17400.97
11,17502.143
12,17609.957
13,17732.441
14,17830.521
15,17911.338
16,17981.09
17,18017.338
18,18026.125
19,17994.191
20,17960.645
21,17845.154
22,17739.031
23,17692.135
24,17742.18
25,17781.453
26,17762.941
27,17741.244
28,17638.76
29,17586.557
30,17515.83
31,17496.084
32,17493.377
33,17611.492
34,17706.691
35,17724.248
36,17685.543
37,17588.285
38,17561.115
39,17505.54
40,17497.703
41,17563.508
42,17610.932
43,17712.576
44,17711.316
45,17706.354
46,17781.54
47,17868.28
48,17895.936
49,17935.084
50,17970.154
51,17962.469
52,17939.08
53,17997.617
54,18019.266
55,18059.988
56,18150.102
57,18154.965
58,18153.48
59,18137.977
60,18103.229
61,18116.424
62,18058.932
63,18011.11
64,18033.031
65,17938.744
66,17887.99
67,17873.35
68,17835.512
69,17897.953
70,17900.922
71,17973.39
72,18001.508
73,18054.285
74,18089.068
75,18084.768
76,18039.182
77,17957.781
78,17920.943
79,17944.785
80,17934.88
81,17883.807
82,17900.818
83,17907.791
84,17909.287
85,17945.934
86,17929.959
87,18003.908
88,17971.967
89,17987.107
90,18062.383
91,18054.402
92,18047.379
93,18021.74
94,18046.49
95,18037.135
96,18083.004
97,18101.338
98,18091.998
99,18055.8
100,18046.916
101,18002.785
102,18047.752
103,18027.328
104,18000.223
105,17975.463
106,17978.787
107,18026.38
108,18066.242
109,18091.38
110,18107.65
111,18140.49
112,18200.564
113,18252.586
114,18284.973
115,18250.828
116,18293.197
117,18268.734
118,18232.084
119,18210.342
120,18195.662
121,18154.764
122,18144.195
123,18106.7
124,18070.361
125,18068.258
126,18033.062
127,17952.236
128,17895.889
129,17936.13
130,18023.004
131,18009.727
132,17972.32
133,17961.738
134,18000.334
135,18057.416
136,18081.95
137,18122.979
138,18157.664
139,18140.65
140,18092.535
141,18034.064
142,17962.365
143,17883.79
144,17843.332
145,17838.746
146,17818.793
147,17837.094
148,17758.744
149,17710.037
150,17716.225
151,17792.406
152,17924.273
153,18001.492
154,18036.24
155,18045.48
156,18088.658
157,18058.85
158,18041.037
159,17965.959
160,17897.76
161,17801.55
162,17742.451
163,17742.332
164,17770.79
165,17720.418
166,17703.732
167,17697.328
168,17671.16
169,17620.236
170,17590.53
171,17564.602
172,17544.932
173,17554.697
174,17567.963
175,17578.201
176,17597.973
177,17627.166
178,17597.871
179,17493.852
180,17249.861
181,16923.197
182,16600.863
183,16492.547
184,16539.402
185,16655.525
186,16718.488
187,16625.137
188,16587.64
189,16573.078
190,16514.709
191,16561.705
192,16544.33
193,16546.82
194,16609.535
195,16562.684
196,16600.307
197,16674.295
198,16743.727
199,16737.531
200,16730.627
201,16666.338
202,16563.775
203,16412.441
204,16291.834
205,16168.026
206,16215.969
207,16299.361
208,16309.661
209,16365.422
210,16411.633
211,16566.738
212,16687.027
213,16746.303
214,16894.16
215,16927.291
216,16975.143
217,16970.617
218,16985.66
219,17068.504
220,17127.516
221,17140.758
222,17096.92
223,17191.328
224,17260.475
225,17338.717
226,17370.232
227,17459.102
228,17459.969
229,17479.084
230,17551.98
231,17597.6
232,17658.47
233,17726.363
234,17746.6
235,17734.75
236,17737.639
237,17714.713
238,17642.883
239,17525.508
240,17457.836
241,17480.326
242,17551.828
243,17603.32
244,17653.4
245,17682.494
246,17766.363
247,17808.771
248,17817.238
249,17802.027
250,17858.195
251,17840.232
252,17749.707
253,17788.965
254,17795.879
255,17756.521
256,17706.104
257,17690.707
258,17586.42
259,17552.316
260,17548.596
261,17572.785
262,17542.914
263,17490.139
264,17425.951
265,17463.25
266,17519.11
267,17570.793
268,17591.908
269,17656.527
270,17670.762
271,17638.691
272,17525.154
273,17464.738
274,17324.855
275,17110.336
276,16992.295
277,16843.045
278,16760.05
279,16638.438
280,16618.615
281,16455.158
282,16397.93
283,16317.76
284,16299.893
285,16275.172
286,16187.386
287,16252.247
288,16265.241
289,16307.169
290,16392.533
291,16474.92
292,16512.676
293,16521.7
294,16529.693
295,16472.553
296,16420.365
297,16310.125
298,16177.015
299,16044.192
300,16036.993
301,16112.306
302,16166.681
303,16304.435
304,16289.697
305,16384.479
306,16371.647
307,16406.043
308,16508.186
309,16516.928
310,16559.133
311,16584.398
312,16669.164
313,16794.795
314,16845.936
315,16851.445
316,16908.969
317,16942.178
318,16918.53
319,16945.824
320,16998.773
321,17024.05
322,17017.777
323,17138.982
324,17257.78
325,17363.615
326,17401.22
327,17403.98
328,17440.213
329,17411.904
330,17446.504
331,17517.855
332,17533.008
333,17550.4
334,17626.275
335,17611.031
336,17620.762
337,17598.156
338,17592.473
339,17554.574
340,17583.969
341,17648.98
342,17746.639
343,17785.084
344,17832.938
345,17891.516
346,17964.707
347,17995.496
348,18003.672
349,17994.258
350,17974.666
351,17984.232
352,17944.713
353,17904.975
354,17905.324
355,17865.66
356,17835.621
357,17790.91
358,17758.166
359,17774.871
360,17792.105
361,17787.264
362,17771.14
363,17745.182
364,17769.03
365,17733.453
366,17695.596
367,17669.172
368,17653.7
369,17652.94
370,17671.486
371,17744.234
372,17797.537
373,17853.965
374,17875.672
375,17849.684
376,17853.574
377,17876.453
378,17880.76
379,17892.154
380,17926.104
381,17959.807
382,17937.621
383,17929.395
384,17836.465
385,17793.148
386,17751.988
387,17769.242
388,17756.994
389,17781.855
390,17769.463
391,17833.514
392,17738.172
393,17624.023
394,17586.842
395,17616.543
396,17729.389
