date,open,pre_close,high,low,volume,amount,turnover_ratio,OT
2016/10/20,3317.18,3316.24,3324.9,3312.17,-666047492,82481095277,0.25,3318.6
2016/10/21,3315.72,3318.6,3341.56,3309.18,-1906384288,1.07115E+11,0.34,3327.74
2016/10/24,3332.51,3327.74,3382.83,3330.97,-1878434684,1.50063E+11,0.48,3367.58
2016/10/25,3367.48,3367.58,3373.91,3356.59,-1765732588,1.10577E+11,0.35,3367.45
2016/10/26,3365.2,3367.45,3367.83,3349.57,1212544008,1.04719E+11,0.31,3354.8
2016/10/27,3351.46,3354.8,3352.35,3335.13,-826949492,85241012414,0.24,3345.7
2016/10/28,3347.14,3345.7,3370.75,3337.29,723396308,1.04798E+11,0.29,3340.13
2016/10/31,3332.41,3340.13,3340.47,3317.33,-1454648292,80701820968,0.22,3336.28
2016/11/1,3338.71,3336.28,3359.39,3334.46,-1096114692,84717683750,0.24,3359.05
2016/11/2,3350.71,3359.05,3356.4,3331.38,529775808,1.00349E+11,0.29,3333.35
2016/11/3,3326.9,3333.35,3379.99,3324.84,-262551488,1.37386E+11,0.4,3365.08
2016/11/4,3362.21,3365.08,3377.64,3348.43,1817030908,1.10814E+11,0.33,3354.17
2016/11/7,3353.44,3354.17,3362.74,3342.31,1397864208,94370876771,0.31,3356.59
2016/11/8,3367.7,3356.59,3383.92,3361.13,1724893608,1.05138E+11,0.32,3371.12
2016/11/9,3370.6,3371.12,3373.1,3322.08,1026104012,1.45187E+11,0.44,3353.05
2016/11/10,3374.91,3353.05,3403.02,3374.91,585651612,1.33277E+11,0.42,3390.61
2016/11/11,3387.95,3390.61,3422.67,3382.89,-1596686880,1.90647E+11,0.62,3417.22
2016/11/14,3409.22,3417.22,3452.62,3408.14,-150125980,2.08353E+11,0.67,3430.25
2016/11/15,3428.87,3430.25,3434.92,3415.99,571730112,1.35207E+11,0.42,3429.87
2016/11/16,3432.43,3429.87,3435.64,3419.24,95949212,1.28945E+11,0.41,3429.59
2016/11/17,3423.47,3429.59,3437.67,3412.88,-728728788,1.21577E+11,0.38,3436.53
2016/11/18,3437.49,3436.53,3443.12,3413.27,-1289781388,1.17346E+11,0.36,3417.46
2016/11/21,3412.65,3417.46,3463.14,3412.08,1758551012,1.47543E+11,0.46,3441.11
2016/11/22,3443.22,3441.11,3469.22,3443.22,-327524584,1.67251E+11,0.53,3468.36
2016/11/23,3473.9,3468.36,3492.96,3465.76,-941018784,1.71247E+11,0.51,3474.73
2016/11/24,3468.81,3474.73,3508.16,3467.01,1689728212,1.65071E+11,0.46,3488.74
2016/11/25,3490.04,3488.74,3521.3,3463.95,-1817718584,1.66832E+11,0.48,3521.3
2016/11/28,3538.68,3521.3,3553.36,3528.32,-737288180,2.1986E+11,0.65,3535.08
2016/11/29,3525.9,3535.08,3583.72,3521.38,-2077968176,2.48323E+11,0.74,3564.04
2016/11/30,3557.64,3564.04,3567.07,3527.02,676148616,1.90681E+11,0.56,3538
2016/12/1,3543.96,3538,3575.97,3543.25,837206916,1.99638E+11,0.57,3565.04
2016/12/2,3559.77,3565.04,3562.55,3516.79,-1839288480,2.03742E+11,0.62,3528.95
2016/12/5,3473.69,3528.95,3496.88,3457.34,905366316,1.90175E+11,0.57,3469.41
2016/12/6,3466.24,3469.41,3477.59,3456.81,-1331992888,1.25728E+11,0.36,3459.15
