id,estimate_OT
0,4026.209
1,4042.4727
2,4040.2227
3,4034.0676
4,4026.393
5,4004.812
6,4011.8127
7,4005.863
8,3997.9785
9,3990.3477
10,3976.8838
11,3978.6238
12,3969.1104
13,3946.0557
14,3924.4841
15,3911.8523
16,3890.68
17,3878.8135
18,3859.6855
19,3850.405
20,3861.731
21,3866.5935
22,3857.5305
23,3844.187
24,3850.2974
25,3851.1182
26,3853.476
27,3862.4092
28,3862.4539
29,3890.2136
30,3912.0957
31,3916.8691
32,3919.2192
33,3902.0789
34,3878.8328
35,3865.3772
36,3852.1536
37,3842.695
38,3844.5488
39,3858.4373
40,3870.978
41,3865.7053
42,3858.8225
43,3855.2231
44,3851.922
45,3854.3738
46,3849.9072
47,3868.1277
48,3878.612
49,3875.1792
50,3869.9277
51,3861.7156
52,3855.2683
53,3851.8958
54,3839.988
55,3866.657
56,3875.187
57,3878.9795
58,3915.6301
59,3940.8945
60,3951.1003
61,3953.6025
62,3970.2253
63,3982.0457
64,3977.782
65,3971.6267
66,3964.1013
67,3962.6519
68,3936.6272
69,3907.3809
70,3893.0833
71,3872.1257
72,3859.7842
73,3841.3408
74,3814.6394
75,3801.5027
76,3774.8928
77,3763.386
78,3764.5005
79,3768.324
80,3781.9358
81,3801.093
82,3803.141
83,3806.9453
84,3821.5671
85,3828.581
86,3831.3499
87,3812.37
88,3795.6375
89,3790.091
90,3787.0898
91,3767.7534
92,3758.556
93,3746.253
94,3741.8735
95,3740.7493
96,3729.9883
97,3711.7886
98,3725.9585
99,3718.982
100,3715.826
101,3711.7002
102,3710.6016
103,3709.0723
104,3696.379
105,3688.288
106,3697.0044
107,3696.9683
108,3679.961
109,3673.8125
110,3653.6802
111,3620.2107
112,3596.1653
113,3566.7979
114,3548.7344
115,3542.8987
116,3540.7925
117,3557.9155
118,3572.6711
119,3577.8005
120,3577.8955
121,3582.0156
122,3584.9714
123,3600.0732
124,3609.231
125,3612.0322
126,3613.0894
127,3601.7605
128,3594.4905
129,3593.278
130,3593.7034
131,3584.197
132,3583.1875
133,3581.605
134,3575.0989
135,3562.7632
136,3557.2935
137,3550.3354
138,3539.2087
139,3533.3308
140,3525.3662
141,3521.9294
142,3511.9138
143,3499.5195
144,3469.774
145,3455.9487
146,3446.2957
147,3438.3206
148,3439.1062
149,3443.4612
150,3426.8438
151,3411.2244
152,3397.231
153,3385.792
154,3374.0564
155,3357.7678
156,3359.3293
157,3360.9265
158,3360.6553
159,3358.021
160,3355.7212
161,3374.3037
162,3394.2273
163,3392.3225
164,3392.9155
165,3381.1348
166,3365.0466
167,3335.5325
168,3322.6035
169,3308.53
170,3306.4631
171,3304.7827
172,3303.2036
173,3300.4587
174,3279.7417
175,3280.3865
176,3278.0308
177,3264.1096
178,3254.1558
179,3266.6797
180,3291.2249
181,3305.5266
182,3302.7378
183,3286.089
184,3273.0496
185,3259.535
186,3234.553
187,3227.4885
188,3253.3599
189,3280.4023
190,3302.7324
191,3332.212
192,3349.5752
193,3377.206
194,3401.107
195,3420.1926
196,3425.824
197,3431.7668
198,3432.0112
199,3447.0154
200,3455.3555
201,3467.4502
202,3488.132
203,3503.3503
204,3503.2073
205,3505.3853
206,3515.863
207,3526.7751
208,3531.0737
209,3525.4368
210,3528.4326
211,3548.9553
212,3550.8682
213,3554.9785
214,3559.2515
215,3549.7043
216,3542.664
217,3543.45
218,3529.785
219,3522.2593
220,3529.009
221,3542.5288
222,3557.9368
223,3562.685
224,3555.6526
225,3551.5303
226,3535.7947
227,3523.5898
228,3511.0837
229,3528.2786
230,3526.4248
231,3537.9749
232,3546.7585
233,3545.3706
234,3544.9917
235,3531.7258
236,3530.9116
237,3531.709
238,3545.3555
239,3566.407
240,3579.1863
241,3595.4036
242,3610.4224
243,3611.5393
244,3628.4968
245,3634.2947
246,3638.78
247,3638.0024
248,3630.268
249,3626.203
250,3634.5354
251,3640.473
252,3651.9941
253,3653.1943
254,3650.9983
255,3635.0955
256,3630.6343
257,3620.349
258,3613.4514
259,3606.93
260,3598.3513
261,3599.8086
262,3608.1238
263,3602.3118
264,3606.398
265,3599.7603
266,3582.8982
267,3577.9604
268,3566.4834
269,3563.5303
270,3558.4563
271,3555.1472
272,3551.1565
273,3544.475
274,3535.9324
275,3522.2307
276,3509.903
277,3503.0442
278,3489.616
279,3490.267
280,3489.9565
281,3489.5212
282,3484.3345
283,3474.6487
284,3465.9688
285,3454.0413
286,3452.9854
287,3450.3179
288,3459.1057
289,3463.4446
290,3470.1797
291,3478.0032
292,3486.5466
293,3496.0876
294,3509.4504
295,3509.569
296,3486.6018
297,3466.1177
298,3443.1794
299,3430.0815
300,3419.7441
301,3403.9683
302,3417.6392
303,3421.2842
304,3413.3
305,3395.7515
306,3382.083
307,3370.8296
308,3362.2207
309,3360.1377
310,3353.554
311,3355.423
312,3345.8215
313,3348.422
314,3351.5537
315,3356.5522
316,3355.4639
317,3354.1135
318,3346.0518
319,3337.482
320,3333.3276
321,3325.0002
322,3316.53
323,3304.4866
324,3307.972
325,3303.6094
326,3297.4116
327,3283.9624
328,3274.9766
329,3263.7566
330,3245.777
331,3234.727
332,3222.6133
333,3210.8286
334,3200.5774
335,3193.8142
336,3200.9336
337,3206.136
338,3213.9397
339,3256.291
340,3297.7322
341,3368.6013
342,3463.9045
343,3617.0508
344,3785.3447
345,3811.5137
346,3843.6418
347,3829.2861
348,3827.799
349,3800.3286
350,3779.3835
351,3757.7634
352,3781.7573
353,3796.9456
354,3821.5679
355,3842.6567
356,3843.4387
357,3857.6453
358,3871.3965
359,3876.237
360,3864.7075
361,3859.3171
362,3864.078
363,3875.0005
364,3917.1914
365,3946.8792
366,4029.1018
367,4077.1572
368,4067.9963
369,4073.5376
370,4070.1287
371,4063.1436
372,4022.0364
373,3992.403
374,3975.5574
375,3985.2095
376,3984.672
377,3953.0671
378,3926.6213
379,3900.3687
380,3907.7698
381,3905.4043
382,3913.6472
383,3927.584
384,3939.2207
385,3938.3909
386,3938.7463
387,3958.8481
388,3959.154
389,3984.9805
390,3986.8079
391,4006.6448
392,3983.4167
393,3969.6484
394,3951.1409
395,3941.0906
396,3939.137
