id,estimate_OT
0,3979.3127
1,3995.0625
2,4011.553
3,4001.3274
4,3991.2898
5,3957.4536
6,3949.8071
7,3975.7825
8,3978.7837
9,3988.32
10,3949.1917
11,3937.74
12,3939.498
13,3928.756
14,3907.451
15,3888.8481
16,3880.7693
17,3865.6548
18,3839.4197
19,3821.669
20,3827.8364
21,3838.2483
22,3836.2124
23,3817.6895
24,3820.5183
25,3836.9624
26,3839.876
27,3855.8855
28,3863.4265
29,3880.9138
30,3896.235
31,3899.116
32,3884.0208
33,3897.9668
34,3865.015
35,3874.4468
36,3862.847
37,3852.4993
38,3839.3625
39,3857.3333
40,3864.1213
41,3856.1914
42,3843.5203
43,3840.1926
44,3858.681
45,3861.478
46,3842.7393
47,3847.617
48,3858.2507
49,3861.3862
50,3869.609
51,3837.059
52,3837.2925
53,3846.0613
54,3839.6646
55,3898.7698
56,3919.6448
57,3911.4517
58,3933.401
59,3972.6702
60,3982.831
61,3971.0938
62,3981.4001
63,4014.5974
64,4008.9233
65,3998.1228
66,3987.152
67,3972.2146
68,3949.0818
69,3897.959
70,3916.57
71,3953.4226
72,3958.3284
73,3963.8232
74,3967.1646
75,3786.3813
76,3721.8447
77,3716.407
78,3731.462
79,3757.7563
80,3741.6108
81,3762.5889
82,3781.0352
83,3762.3567
84,3799.7705
85,3828.7432
86,3828.0527
87,3807.3677
88,3801.4102
89,3748.4553
90,3784.1953
91,3774.9895
92,3744.6396
93,3729.704
94,3713.6936
95,3721.2217
96,3728.1414
97,3713.727
98,3698.67
99,3694.3267
100,3683.0642
101,3682.287
102,3704.3267
103,3686.538
104,3689.8154
105,3676.138
106,3687.7415
107,3694.6206
108,3676.4136
109,3658.9744
110,3642.635
111,3607.8357
112,3577.0432
113,3544.9878
114,3529.305
115,3526.128
116,3531.0015
117,3543.4097
118,3553.4612
119,3547.6128
120,3545.782
121,3557.036
122,3574.5874
123,3646.286
124,3624.6465
125,3605.155
126,3603.005
127,3593.4578
128,3591.3784
129,3616.93
130,3590.1826
131,3618.0442
132,3602.5127
133,3544.0042
134,3518.5647
135,3564.8096
136,3554.4436
137,3540.1655
138,3518.81
139,3506.4116
140,3507.4102
141,3510.946
142,3503.9265
143,3485.7834
144,3455.6147
145,3439.7095
146,3435.4897
147,3428.6428
148,3432.7905
149,3432.9038
150,3408.5222
151,3382.0635
152,3377.183
153,3365.6768
154,3344.4258
155,3329.754
156,3332.6392
157,3343.8757
158,3334.826
159,3335.2905
160,3337.5789
161,3364.1804
162,3388.6133
163,3391.7349
164,3389.9834
165,3381.562
166,3363.8745
167,3320.0193
168,3284.7603
169,3293.707
170,3299.6667
171,3290.8555
172,3298.3152
173,3295.08
174,3276.304
175,3263.2253
176,3258.9172
177,3249.5952
178,3225.5388
179,3232.767
180,3268.8887
181,3306.75
182,3338.3987
183,3295.5515
184,3243.291
185,3235.4214
186,3221.7788
187,3215.624
188,3260.722
189,3305.0857
190,3345.5164
191,3380.6372
192,3404.1943
193,3416.432
194,3440.2693
195,3465.1885
196,3467.9612
197,3467.001
198,3482.0693
199,3492.901
200,3512.3591
201,3524.627
202,3541.7388
203,3563.6768
204,3571.462
205,3554.0518
206,3557.1494
207,3569.9854
208,3560.2637
209,3550.7913
210,3513.5095
