id,estimate_OT
0,3996.1025
1,4037.9868
2,4024.4307
3,3989.7615
4,3976.1418
5,3932.918
6,3979.1707
7,3962.719
8,3951.701
9,3933.9365
10,3939.4822
11,3972.6577
12,3903.5222
13,3863.6829
14,3833.1677
15,3834.2212
16,3835.6477
17,3826.9766
18,3789.7998
19,3790.7566
20,3850.5835
21,3831.864
22,3811.1543
23,3783.3672
24,3807.1953
25,3828.6226
26,3832.7314
27,3847.9575
28,3870.8025
29,3916.4065
30,3953.946
31,3955.8542
32,3945.8245
33,3889.5112
34,3820.1501
35,3829.0913
36,3818.0522
37,3808.0037
38,3826.6194
39,3906.8196
40,3913.4487
41,3870.3418
42,3828.8047
43,3811.0977
44,3829.5967
45,3861.63
46,3843.0588
47,3893.0266
48,3884.3728
49,3866.2375
50,3840.3186
51,3848.0093
52,3831.7844
53,3813.6562
54,3798.7834
55,3921.4873
56,3913.014
57,3931.0369
58,3971.0159
59,4010.3662
60,4033.9731
61,4001.2031
62,4011.3596
63,4042.1384
64,4001.2083
65,3979.2688
66,3962.5022
67,3981.9578
68,3918.151
69,3870.367
70,3826.5176
71,3820.9587
72,3828.1714
73,3799.5745
74,3729.249
75,3715.542
76,3697.6284
77,3706.5276
78,3694.212
79,3721.0898
80,3768.2651
81,3789.996
82,3761.2568
83,3793.587
84,3868.421
85,3867.886
86,3842.12
87,3774.344
88,3756.9146
89,3777.1545
90,3755.0215
91,3730.7915
92,3727.4988
93,3708.8079
94,3723.2844
95,3708.2449
96,3689.8533
97,3673.3513
98,3723.2734
99,3716.896
100,3695.675
101,3689.9958
102,3691.6938
103,3681.8423
104,3661.4292
105,3666.643
106,3707.539
107,3669.0361
108,3638.6392
109,3623.3806
110,3607.1055
111,3558.8865
112,3521.2632
113,3472.6824
114,3463.1345
115,3486.3474
116,3503.264
117,3535.1208
118,3564.3992
119,3556.3914
120,3572.1184
121,3550.6484
122,3585.1184
123,3661.4258
124,3626.1892
125,3621.8545
126,3621.0396
127,3608.0393
128,3605.3284
129,3591.349
130,3620.068
131,3594.4568
132,3581.2957
133,3583.4631
134,3589.6797
135,3548.0369
136,3551.1975
137,3535.427
138,3513.828
139,3520.3308
140,3497.3125
141,3482.9773
142,3471.6775
143,3464.849
144,3422.3982
145,3392.8955
146,3373.4805
147,3382.5007
148,3390.0083
149,3403.4512
150,3372.272
151,3342.406
152,3348.1797
153,3310.7456
154,3313.0007
155,3289.2222
156,3333.835
157,3338.2407
158,3347.8193
159,3328.5989
160,3336.9294
161,3410.1675
162,3428.8696
163,3406.9463
164,3386.4958
165,3366.7803
166,3331.2021
167,3295.38
168,3274.277
169,3250.8962
170,3275.2751
171,3284.3315
172,3255.9395
173,3279.715
174,3238.9568
175,3260.5042
176,3265.0923
177,3230.8518
178,3216.0852
179,3257.0396
180,3340.2288
181,3325.2854
182,3310.276
183,3262.0977
184,3231.1162
185,3212.506
186,3194.9763
187,3172.9043
188,3315.9875
189,3340.2756
190,3371.6028
191,3402.632
192,3416.414
193,3458.058
194,3485.9294
195,3518.5696
196,3480.0066
197,3479.2537
198,3493.161
199,3503.926
200,3553.8643
201,3556.9053
202,3587.9495
203,3588.3628
204,3587.007
205,3553.6462
206,3601.2502
207,3617.736
208,3591.947
209,3570.5996
210,3589.1042
211,3631.7976
212,3599.9045
213,3592.4023
214,3579.915
215,3554.2183
216,3524.429
217,3533.9128
218,3501.5938
219,3515.1675
220,3527.5662
221,3595.3413
222,3591.1448
223,3566.7466
224,3533.5088
225,3518.5369
226,3504.6035
227,3500.4072
228,3481.751
229,3543.1086
230,3512.2593
231,3554.7395
232,3571.3452
233,3548.6077
234,3534.3489
235,3499.6057
236,3512.254
237,3518.6946
238,3589.0488
239,3617.0684
240,3617.6665
241,3656.2373
242,3666.0247
243,3660.705
244,3680.68
245,3675.8877
246,3670.9875
247,3658.1062
248,3627.8315
249,3642.6733
250,3662.3613
251,3710.1104
252,3692.0527
253,3696.3208
254,3665.7354
255,3604.9612
256,3616.6672
257,3599.3767
258,3601.3306
259,3587.9626
260,3579.2595
261,3580.2773
262,3603.7947
263,3596.7634
264,3593.4272
