id,estimate_OT
0,17809.918
1,17828.541
2,17858.8
3,17842.828
4,17828.041
5,17466.043
6,17545.87
7,17297.984
8,17204.205
9,17024.396
10,17224.484
11,17684.75
12,17711.678
13,17753.758
14,17790.332
15,17806.842
16,17861.686
17,17917.35
18,17992.918
19,17948.984
20,17985.352
21,17579.783
22,17384.57
23,17628.574
24,17868.377
25,17805.627
26,17731.162
27,17637.85
28,17372.188
29,17233.264
30,17522.527
31,17472.744
32,17542.72
33,17732.56
34,17624.465
35,17609.03
36,17301.059
37,17151.857
38,17364.088
39,17147.91
40,17320.834
41,17595.85
42,17604.66
43,17695.395
44,17668.297
45,17646.012
46,17739.19
47,17779.97
48,17894.588
49,17966.963
50,18031.758
51,18027.21
52,18025.438
53,18107.85
54,18074.934
55,18076.307
56,18093.68
57,18096.951
58,18082.947
59,18136.096
60,18138.916
61,18124.062
62,18142.027
63,17884.79
64,18045.693
65,17581.5
66,17582.209
67,17841.803
68,17676.557
69,17962.7
70,17751.002
71,18002.654
72,17928.35
73,18031.365
74,18017.56
75,17990.885
76,17651.262
77,17662.55
78,17654.863
79,17966.459
80,17764.842
81,17698.648
82,17709.361
83,17887.86
84,17861.004
85,17895.908
86,17895.941
87,17952.582
88,17941.23
89,17969.107
90,18092.64
91,18078.867
92,17888.586
93,18058.385
94,18009.104
95,18034.523
96,18048.072
97,18046.83
98,18037.945
99,18044.346
100,18028.785
101,17876.809
102,18017.66
103,18038.85
104,17971.74
105,17808.12
106,17895.51
107,18062.676
108,18057.512
109,18051.887
110,18044.314
111,18111.605
112,18181.053
113,18210.75
114,18283.104
115,18245.654
116,18283.217
117,18272.451
118,18121.89
119,18198.18
120,18168.834
121,18044.01
122,18060.76
123,18000.1
124,18097.2
125,17866.906
126,17782.69
127,17657.613
128,17639.512
129,17943.832
130,18012.482
131,17817.516
132,17674.02
133,17793.129
134,17851.03
135,18016.418
136,17959.88
137,18052.58
138,18115.398
139,17993.266
140,17895.582
141,17963.717
142,17629.732
143,17634.818
144,17719.318
145,17713.732
146,17620.27
147,17761.08
148,17411.201
149,17446.855
150,17682.629
151,17861.172
152,17903.102
153,17921.502
154,17980.623
155,18022.19
156,18117.766
157,17993.17
158,17929.203
159,17763.674
160,17568.549
161,17408.742
162,17628.56
163,17786.174
164,17790.713
165,17705.705
166,17515.262
167,17405.625
168,17438.72
169,17318.574
170,17267.295
171,17531.55
172,17290.367
173,17288.303
174,17261.625
175,17353.307
176,17468.38
177,17466.174
178,17269.299
179,16975.818
180,16596.486
181,16099.62
182,15730.199
183,16003.848
184,16422.96
185,16450.87
186,16190.718
187,15567.216
188,15923.991
189,16085.858
190,15852.813
191,16227.851
192,15980.273
193,16114.115
194,16237.235
195,16169.226
196,16477.908
197,16653.662
198,16626.674
199,16443.803
200,16518.178
201,16379.169
202,16384.822
203,16240.194
204,16379.145
205,15902.957
206,16007.249
207,16270.233
208,16282.188
209,16380.632
210,16465.736
211,16498.008
212,16603.066
213,16726.021
214,16915.988
215,17042.75
216,17101.562
217,17064.893
218,17149.598
219,17254.117
220,17218.385
221,17181.441
222,17108.53
223,17206.635
224,17262.184
225,17305.527
226,17339.078
227,17431.84
228,17485.213
229,17513.47
230,17602.143
231,17682.396
232,17714.375
233,17756.002
234,17787.691
235,17740.844
236,17747.477
237,17737.656
238,17571.184
239,17110.227
240,17528.63
241,17525.346
242,17702.684
243,17697.303
244,17728.541
245,17729.83
246,17746.479
247,17736.148
248,17756.29
249,17714.37
250,17872.787
251,17794.041
252,17509.977
253,17856.168
254,17772.121
255,17617.098
256,17456.912
257,17563.059
258,17210.611
259,17321.812
260,17479.842
261,17669.363
262,17465.082
263,17071.748
264,17053.041
265,17307.27
266,17527.791
267,17521.78
268,17458.662
269,17627.713
270,17574.81
271,17425.441
272,17120.252
273,17114.094
274,16929.71
275,16644.0
276,16345.158
277,16238.877
278,16279.025
279,15977.925
280,16053.159
281,15574.119
282,15598.305
283,15365.642
284,15514.174
285,15656.755
286,15530.92
287,15786.774
288,15583.295
289,15693.831
290,16180.608
291,16225.264
292,16003.074
293,16229.862
294,16320.701
295,16224.111
296,16073.48
297,16037.235
298,15906.97
299,15672.922
300,15993.566
301,16167.067
302,16233.514
303,16251.712
304,16252.071
305,16319.272
306,16316.502
307,16342.946
308,16542.55
309,16620.545
310,16611.477
311,16754.25
312,16867.28
313,16902.111
314,16896.566
315,16891.453
316,16856.086
317,16869.752
318,16870.502
319,16961.979
320,17017.979
321,17064.566
322,17109.625
323,17190.625
324,17284.832
325,17331.018
326,17373.312
327,17378.863
328,17413.895
329,17435.18
330,17501.455
331,17552.604
332,17571.377
333,17611.412
334,17626.754
335,17597.13
336,17632.838
337,17591.848
338,17609.707
339,17601.998
340,17660.414
341,17718.828
342,17749.246
343,17766.729
344,17814.162
345,17865.398
346,17929.201
347,17933.969
348,17971.975
349,17983.23
350,17994.768
351,18034.293
352,17928.89
353,17830.014
354,17925.133
355,17789.467
356,17610.71
357,17585.328
358,17727.016
359,17678.316
360,17882.852
361,17626.24
362,17643.924
363,17438.055
364,17658.082
365,17447.508
366,17478.197
367,17329.488
368,17438.697
369,17381.746
370,17665.998
371,17718.428
372,17746.955
373,17761.46
374,17747.32
375,17744.121
376,17805.867
377,17835.3
378,17914.293
379,17963.805
380,17977.56
381,17995.154
382,17896.664
383,17814.367
384,17722.166
385,17642.766
386,17777.861
387,17704.807
388,17815.547
389,17825.229
390,17805.598
391,17862.271
392,17400.436
393,17207.291
394,17295.709
395,17655.238
396,17810.604
