id,estimate_OT
0,17873.23
1,17897.41
2,17929.17
3,17907.705
4,17810.834
5,17655.309
6,17585.8
7,17487.63
8,17389.807
9,17301.816
10,17289.084
11,17353.906
12,17481.803
13,17856.62
14,18083.572
15,18138.576
16,18157.625
17,18169.746
18,18136.416
19,18097.596
20,17981.432
21,17759.133
22,17486.6
23,17456.389
24,17605.062
25,17630.012
26,17576.795
27,17614.514
28,17498.145
29,17488.959
30,17476.596
31,17425.717
32,17504.951
33,17698.205
34,17753.273
35,17652.72
36,17517.586
37,17389.152
38,17337.322
39,17271.082
40,17263.639
41,17364.156
42,17529.178
43,17715.246
44,17866.57
45,17864.994
46,17873.918
47,17916.885
48,17925.43
49,17979.566
50,18016.67
51,18027.238
52,18020.242
53,18012.97
54,18103.799
55,18165.363
56,18206.34
57,18226.457
58,18231.887
59,18287.535
60,18262.344
61,18210.227
62,18232.426
63,18070.758
64,17992.764
65,17799.676
66,17728.312
67,17736.143
68,17744.527
69,17790.96
70,17816.293
71,17872.623
72,17893.14
73,18016.207
74,18121.658
75,18136.863
76,17975.78
77,17770.674
78,17716.19
79,17771.27
80,17830.295
81,17718.734
82,17711.701
83,17773.871
84,17785.246
85,17804.742
86,17821.719
87,18052.42
88,18106.66
89,18077.062
90,18107.55
91,18093.676
92,18068.629
93,18012.617
94,17992.822
95,18011.127
96,18059.238
97,18013.81
98,18009.797
99,18107.408
100,18052.367
101,17871.805
102,17847.082
103,18058.457
104,18016.523
105,17956.908
106,17905.854
107,18040.986
108,18143.61
109,18060.654
110,18080.559
111,18143.775
112,18226.303
113,18239.068
114,18276.318
115,18293.594
116,18325.125
117,18300.494
118,18144.223
119,18102.676
120,18209.67
121,18006.082
122,17917.867
123,17970.006
124,18030.832
125,17968.24
126,17923.486
127,17914.408
128,17911.469
129,17878.977
130,17881.379
131,17886.81
132,17850.932
133,17880.422
134,17898.771
135,17946.637
136,17995.088
137,18145.918
138,18162.889
139,18086.148
140,17977.63
141,17888.19
142,17780.818
143,17703.686
144,17703.062
145,17699.59
146,17659.686
147,17647.35
148,17615.965
149,17595.871
150,17663.357
151,17823.104
152,17979.844
153,18093.35
154,18182.105
155,18176.57
156,18124.219
157,18026.838
158,18008.092
159,17843.508
160,17651.072
161,17518.291
162,17474.584
163,17503.291
164,17535.875
165,17631.889
166,17612.547
167,17625.531
168,17647.496
169,17590.436
170,17383.412
171,17419.693
172,17488.605
173,17407.41
174,17419.045
175,17468.398
176,17511.404
177,17545.93
178,17432.031
179,17264.814
180,17031.56
181,16677.332
182,16365.948
183,16294.811
184,16311.37
185,16357.69
186,16339.547
187,16292.181
188,16276.832
189,16295.311
190,16107.435
191,16179.032
192,16495.264
193,16398.799
194,16383.41
195,16438.002
196,16562.672
197,16779.242
198,16849.47
199,16532.053
200,16502.031
201,16304.238
202,16039.8125
203,15982.297
204,16114.411
205,16182.809
206,16096.998
207,16090.567
208,16078.194
209,16206.472
210,16621.506
211,16725.326
212,16833.396
213,16939.562
214,17011.559
215,17059.186
216,17091.344
217,17101.06
218,17131.229
219,17148.74
220,17177.035
221,17214.174
222,17173.646
223,17200.982
224,17348.09
225,17470.764
226,17450.64
227,17677.043
228,17717.562
229,17556.834
230,17765.438
231,17905.56
232,17889.908
233,17880.295
234,17914.51
235,17869.484
236,17853.967
237,17776.986
238,17513.277
239,17308.986
240,17347.938
241,17396.008
242,17442.27
243,17573.012
244,17810.021
245,17847.348
246,17791.615
247,17851.268
248,17919.473
249,17858.84
250,17906.736
251,17909.135
252,17694.865
253,17647.03
254,17730.77
255,17644.215
256,17500.334
257,17518.686
258,17417.375
259,17341.871
260,17366.059
261,17474.99
262,17593.334
263,17391.777
264,17318.824
265,17346.451
266,17410.734
267,17473.291
268,17520.414
269,17633.52
270,17773.725
271,17618.648
272,17268.969
273,17197.76
274,17140.629
275,16938.295
276,16744.371
277,16631.848
278,16568.28
279,16429.467
280,16384.822
281,16289.931
282,16210.815
283,16007.669
284,15879.896
285,15900.132
286,15905.556
287,16011.012
288,15929.875
289,16019.501
290,16236.83
291,16475.98
292,16280.993
293,16277.182
294,16489.45
295,16318.528
296,16055.911
297,15998.595
298,16005.553
299,15827.838
300,15793.345
301,15877.58
302,16193.046
303,16435.36
304,16399.207
305,16517.643
306,16570.527
307,16576.543
308,16654.236
309,16684.215
310,16650.926
311,16752.053
312,16725.512
313,16673.041
314,16852.182
315,16974.334
316,16981.424
317,17025.676
318,17063.477
319,17119.467
320,17180.346
321,17252.668
322,17211.326
323,17333.37
324,17351.844
325,17491.852
326,17563.209
327,17508.848
328,17549.016
329,17593.383
330,17568.957
331,17678.297
332,17719.324
333,17688.674
334,17703.738
335,17635.617
336,17665.643
337,17636.28
338,17601.35
339,17551.553
340,17692.963
341,17788.475
342,17858.39
343,17884.797
344,17924.984
345,17985.086
346,18025.438
347,18030.852
348,18019.355
349,18031.73
350,18043.291
351,18025.082
352,17947.637
353,17749.572
354,17831.268
355,17762.18
356,17617.596
357,17634.193
358,17671.113
359,17712.352
360,17742.451
361,17770.441
362,17796.924
363,17748.94
364,17674.156
365,17617.541
366,17589.666
367,17526.18
368,17512.238
369,17502.096
370,17543.418
371,17744.748
372,17858.67
373,17868.395
374,17847.955
375,17862.928
376,17817.277
377,17830.955
378,17871.396
379,17893.031
380,17848.281
381,17933.242
382,17901.77
383,17789.861
384,17658.072
385,17608.014
386,17551.572
387,17539.254
388,17657.715
389,17800.395
390,17766.492
391,17918.797
392,17726.31
393,17486.04
394,17447.566
395,17498.906
396,17624.219
