id,estimate_OT
0,17985.371
1,17959.201
2,18017.453
3,17951.232
4,17908.664
5,17669.164
6,17659.475
7,17478.623
8,17399.781
9,17292.963
10,17318.691
11,17521.234
12,17754.508
13,17946.746
14,18068.014
15,18190.23
16,18218.975
17,18228.982
18,18217.742
19,18056.402
20,17953.197
21,17633.371
22,17375.336
23,17463.701
24,17809.025
25,17824.295
26,17614.543
27,17575.203
28,17424.994
29,17233.873
30,17304.307
31,17411.91
32,17502.93
33,17677.336
34,17579.166
35,17577.195
36,17297.293
37,17230.752
38,17261.34
39,17121.102
40,17278.938
41,17451.262
42,17670.945
43,17795.652
44,17780.014
45,17814.012
46,17889.115
47,17913.041
48,18055.06
49,18099.107
50,18134.178
51,18173.918
52,18120.715
53,18163.516
54,18212.885
55,18291.707
56,18288.275
57,18350.445
58,18296.562
59,18388.729
60,18373.217
61,18264.611
62,18230.809
63,18049.877
64,18033.295
65,17793.973
66,17735.287
67,17775.863
68,17757.297
69,17889.496
70,17779.79
71,17980.24
72,17854.904
73,18126.69
74,18144.941
75,18097.756
76,17812.543
77,17675.318
78,17689.523
79,17870.506
80,17757.63
81,17718.275
82,17617.28
83,17762.242
84,17802.986
85,17841.791
86,18060.902
87,18070.422
88,18098.012
89,18093.617
90,18162.975
91,18154.482
92,17979.45
93,18005.326
94,17977.885
95,18090.057
96,18099.805
97,18137.37
98,18122.201
99,18117.371
100,18126.383
101,18008.734
102,18015.371
103,18068.47
104,18006.463
105,17869.967
106,17844.68
107,18086.209
108,18106.275
109,18083.87
110,18056.068
111,18222.75
112,18299.592
113,18345.355
114,18385.137
115,18378.684
116,18367.662
117,18323.393
118,18206.844
119,18233.525
120,18188.537
121,18143.162
122,18032.4
123,17983.559
124,18077.672
125,17935.086
126,17850.473
127,17818.17
128,17815.889
129,17895.293
130,17920.572
131,17844.127
132,17770.713
133,17786.338
134,17821.406
135,17993.256
136,18053.795
137,18134.701
138,18147.916
139,18062.818
140,17907.97
141,17973.248
142,17742.646
143,17720.82
144,17689.295
145,17672.006
146,17668.19
147,17645.082
148,17543.361
149,17538.018
150,17582.797
151,17902.53
152,18103.008
153,18048.098
154,18177.072
155,18120.314
156,18154.902
157,18043.5
158,17963.562
159,17833.412
160,17674.568
161,17500.37
162,17544.328
163,17662.15
164,17681.004
165,17655.572
166,17576.914
167,17507.402
168,17489.535
169,17419.252
170,17347.287
171,17465.42
172,17371.951
173,17360.553
174,17254.639
175,17327.51
176,17423.61
177,17390.328
178,17298.744
179,17093.168
180,16921.646
181,16541.95
182,16295.948
183,16318.237
184,16481.873
185,16448.982
186,16255.088
187,15938.99
188,15891.745
189,15813.588
190,15766.7295
191,16064.031
192,16037.955
193,16280.915
194,16086.874
195,16195.041
196,16493.979
197,16665.803
198,16726.785
199,16484.107
200,16546.164
201,16465.16
202,16410.79
203,16094.172
204,16230.149
205,16177.546
206,16085.088
207,16081.07
208,16140.32
209,16298.856
210,16729.895
211,16861.994
212,16976.64
213,17127.879
214,17212.896
215,17315.05
216,17172.256
217,17148.953
218,17264.79
219,17327.777
220,17398.29
221,17400.645
222,17378.232
223,17591.338
224,17740.771
225,17782.742
226,17803.137
227,17937.592
228,17976.688
229,17996.139
230,17989.229
231,18084.297
232,18069.05
233,17998.814
234,18056.623
235,17999.12
236,17966.857
237,17878.008
238,17695.543
239,17389.72
240,17498.717
241,17514.28
242,17678.098
243,17632.316
244,17855.709
245,17823.922
246,17851.787
247,17885.26
248,17905.363
249,17911.686
250,17927.527
251,17808.686
252,17588.277
253,17771.656
254,17742.414
255,17668.873
256,17474.309
257,17542.393
258,17389.195
259,17329.773
260,17375.164
261,17635.521
262,17515.898
263,17329.986
264,17301.943
265,17234.121
266,17416.72
267,17437.508
268,17468.945
269,17646.69
270,17608.223
271,17425.209
272,17133.174
273,17105.582
274,17057.648
275,16854.742
276,16623.607
277,16541.545
278,16553.438
279,16354.667
280,16299.166
281,16183.917
282,16122.692
283,15829.282
284,15761.781
285,15778.041
286,15639.125
287,15739.641
288,15469.897
289,15633.302
290,16130.516
291,16334.896
292,16268.585
293,16285.263
294,16426.533
295,16343.472
296,16084.283
297,16032.903
298,15891.468
299,15744.753
300,15748.492
301,16004.08
302,16391.17
303,16412.684
304,16467.004
305,16569.049
306,16584.756
307,16714.969
308,16815.28
309,16755.646
310,16696.607
311,16880.35
312,16939.957
313,16972.512
314,17025.326
315,17153.756
316,17115.0
317,17142.867
318,17175.023
319,17381.01
320,17369.06
321,17422.63
322,17583.746
323,17602.037
324,17748.76
325,17747.84
326,17767.45
327,17690.297
328,17716.328
329,17736.748
330,17811.252
331,17820.336
332,17881.49
333,17928.61
334,17815.117
335,17769.084
336,17825.582
337,17708.04
338,17698.094
339,17618.117
340,17744.953
341,17932.275
342,17943.068
343,17977.121
344,18019.447
345,18082.752
346,18143.797
347,18128.957
348,18168.248
349,18109.342
350,18125.338
351,18176.05
352,18028.57
353,17927.371
354,17911.074
355,17841.945
356,17690.885
357,17650.363
358,17693.256
359,17644.56
360,17764.81
361,17694.68
362,17705.783
363,17594.43
364,17598.98
365,17538.14
366,17507.875
367,17445.498
368,17436.812
369,17384.098
370,17489.922
371,17688.627
372,17802.773
373,17888.357
374,17865.107
375,17882.115
376,17911.924
377,17882.05
378,17926.904
379,17958.799
380,17992.432
381,18017.887
382,17956.527
383,17894.178
384,17767.553
385,17746.604
386,17785.74
387,17730.77
388,17814.176
389,17824.166
390,17775.459
391,17922.043
392,17639.162
393,17460.006
394,17392.271
395,17548.176
396,17862.73
