id,estimate_OT
0,17948.656
1,17882.604
2,17933.166
3,17915.023
4,17871.54
5,17709.832
6,17649.0
7,17444.371
8,17282.816
9,17170.264
10,17219.043
11,17630.5
12,17913.572
13,17955.984
14,18044.914
15,18076.54
16,18078.572
17,17985.793
18,17952.607
19,17927.908
20,17879.492
21,17622.387
22,17341.396
23,17376.402
24,17693.521
25,17752.305
26,17716.232
27,17778.523
28,17562.56
29,17310.547
30,17487.754
31,17545.586
32,17578.357
33,17738.107
34,17770.604
35,17735.113
36,17533.281
37,17358.473
38,17444.031
39,17447.771
40,17360.455
41,17573.867
42,17717.62
43,17729.033
44,17752.854
45,17781.672
46,17823.602
47,17732.695
48,17948.861
49,18009.314
50,18062.482
51,17968.377
52,17995.414
53,18131.85
54,18100.021
55,18167.023
56,18259.186
57,18249.322
58,18153.686
59,18287.135
60,18237.81
61,18071.01
62,18204.092
63,18143.852
64,18076.547
65,17847.32
66,17668.547
67,17739.309
68,17764.82
69,17916.053
70,17873.91
71,18086.787
72,18016.291
73,18214.95
74,18168.27
75,18079.986
76,17917.625
77,17756.21
78,17736.96
79,17876.332
80,17889.857
81,17683.465
82,17722.723
83,17836.33
84,17840.871
85,17916.592
86,17978.057
87,18040.365
88,18009.754
89,18072.807
90,18142.682
91,18079.715
92,17939.111
93,18011.275
94,18067.81
95,18052.045
96,18085.549
97,18139.102
98,18111.271
99,18114.65
100,18104.05
101,18039.84
102,17975.066
103,18033.586
104,17987.307
105,17873.3
106,17863.629
107,18017.844
108,18082.98
109,18060.91
110,18063.33
111,18167.893
112,18269.803
113,18275.654
114,18330.488
115,18284.361
116,18278.742
117,18245.04
118,18227.803
119,18194.266
120,18073.807
121,18117.213
122,18072.07
123,17989.518
124,18045.166
125,17985.03
126,17855.537
127,17800.932
128,17817.373
129,17938.695
130,18035.826
131,17915.098
132,17825.158
133,17855.465
134,17958.584
135,18104.412
136,18181.824
137,18178.361
138,18189.486
139,18083.016
140,17986.197
141,18028.12
142,17768.832
143,17642.227
144,17693.479
145,17738.012
146,17624.021
147,17642.514
148,17572.63
149,17582.764
150,17687.953
151,17935.588
152,18018.219
153,17954.732
154,18112.777
155,18115.377
156,18166.066
157,18036.451
158,17948.771
159,17830.943
160,17646.56
161,17466.473
162,17559.793
163,17682.621
164,17625.018
165,17791.498
166,17637.242
167,17604.447
168,17598.537
169,17517.475
170,17366.871
171,17511.273
172,17483.033
173,17413.877
174,17448.225
175,17488.434
176,17480.008
177,17464.295
178,17525.617
179,17337.473
180,16855.016
181,16326.171
182,16026.095
183,16177.516
184,16620.44
185,16638.05
186,16598.814
187,16348.124
188,16255.664
189,16404.264
190,16280.067
191,16455.414
192,16377.316
193,16514.723
194,16537.668
195,16409.223
196,16574.293
197,16755.695
198,16835.416
199,16900.871
200,16741.82
201,16432.768
202,16187.712
203,16052.025
204,16270.289
205,16168.248
206,16112.861
207,16248.951
208,16183.049
209,16303.447
210,16619.637
211,16740.775
212,16850.072
213,16983.963
214,17052.5
215,17092.145
216,16984.258
217,16991.361
218,17143.027
219,17285.951
220,17306.4
221,17255.316
222,17242.09
223,17479.15
224,17669.373
225,17647.229
226,17607.818
227,17781.055
228,17653.059
229,17753.21
230,17806.459
231,17900.617
232,17791.613
233,17812.947
234,17996.793
235,17909.12
236,17838.932
237,17736.021
238,17681.605
239,17476.473
240,17544.441
241,17711.729
242,17712.777
243,17692.402
244,17904.922
245,17916.068
246,17869.48
247,17802.613
248,17781.172
249,17813.69
250,17826.338
251,17803.588
252,17646.688
253,17709.424
254,17706.277
255,17636.453
256,17558.559
257,17617.459
258,17496.764
259,17386.102
260,17503.64
261,17658.414
262,17605.223
263,17364.03
264,17283.42
265,17392.596
266,17491.336
267,17465.06
268,17495.492
269,17660.064
270,17609.018
271,17561.42
272,17295.816
273,17144.754
274,16998.023
275,16763.082
276,16503.174
277,16384.812
278,16367.504
279,16228.366
280,16249.792
281,16303.836
282,16220.488
283,15925.233
284,16168.435
285,16267.404
286,15892.109
287,16197.189
288,16094.207
289,16209.824
290,16679.975
291,16432.51
292,16269.591
293,16392.268
294,16496.762
295,16349.74
296,16114.065
297,15995.845
298,15933.0
299,15735.74
300,15781.505
301,16147.327
302,16348.739
303,16360.896
304,16400.691
305,16521.365
306,16484.855
307,16387.814
308,16595.932
309,16656.998
310,16586.01
311,16740.451
312,16891.54
313,16897.775
314,16950.586
315,17050.314
316,17033.018
317,17078.375
318,17001.799
319,17231.85
320,17229.771
321,17282.992
322,17416.117
323,17522.295
324,17691.54
325,17609.941
326,17581.984
327,17531.498
328,17583.49
329,17586.418
330,17666.19
331,17744.178
332,17700.404
333,17786.908
334,17718.523
335,17718.426
336,17732.566
337,17610.84
338,17700.156
339,17602.91
340,17719.43
341,17836.807
342,17899.393
343,17893.344
344,17949.414
345,18038.023
346,18076.668
347,18024.47
348,18106.879
349,17985.24
350,18033.426
351,18082.033
352,18004.393
353,17891.506
354,17860.367
355,17797.33
356,17661.873
357,17693.05
358,17687.186
359,17670.707
360,17786.37
361,17779.652
362,17774.756
363,17621.217
364,17657.414
365,17596.666
366,17526.83
367,17454.93
368,17548.451
369,17505.506
370,17594.615
371,17756.154
372,17819.26
373,17867.475
374,17896.877
375,17846.805
376,17833.932
377,17765.703
378,17869.887
379,17963.28
380,17973.27
381,17970.004
382,17954.916
383,17881.25
384,17721.61
385,17743.566
386,17803.465
387,17813.496
388,17864.678
389,17906.51
390,17831.176
391,17939.412
392,17800.32
393,17376.814
394,17407.895
395,17643.256
396,17847.54
