iu_ac;date_debut;date_fin;libelle;iu_nd_aval;libelle_nd_aval;iu_nd_amont;libelle_nd_amont;geo_point_2d;geo_shape
1223;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Pte_de_Sevres;618;Pte_Sevres-Armee_Air;619;Av_Pte_de_Sevres_PI;48.83458548908511, 2.2775887111084794;"{""coordinates"": [[2.2773736802582274, 48.834153078805876], [2.277803741958732, 48.83501789936434]], ""type"": ""LineString""}"
1139;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Rond_Pt_Pte_Plaine;627;Pte_Plaine-Av_Pte_Plaine;628;Pte_Plaine-Gal_Guillaumat;48.8278127813947, 2.292632476946377;"{""coordinates"": [[2.2928564154951085, 48.82776295820248], [2.292408538397645, 48.82786260458692]], ""type"": ""LineString""}"
5266;1996-10-28T01:00:00+00:00;2023-01-01T01:00:00+00:00;PE_Poterne;478;SE_Italie;457;AE_Gentilly;48.817370106973385, 2.350550919738548;"{""coordinates"": [[2.3464715081625283, 48.81630312661665], [2.3470157322432095, 48.81640832403151], [2.347492772835493, 48.81653668919965], [2.348324682658665, 48.81689283132845], [2.3494224511469985, 48.81736327793048], [2.350383185128817, 48.817695238271725], [2.3511710929586354, 48.817838668851394], [2.3520528344688416, 48.81792457457675], [2.3528597763246357, 48.81788035107052], [2.3534902413628815, 48.817775556986064], [2.354140985780582, 48.8175605598793], [2.354643446657688, 48.817276846586324]], ""type"": ""LineString""}"
5450;1996-11-06T01:00:00+00:00;2023-01-01T01:00:00+00:00;PI_St_Cloud;2488;AI_St_Cloud;2723;AI_Georges_Lafont;48.839259648175734, 2.254289772364343;"{""coordinates"": [[2.2546614296019127, 48.838184061914816], [2.2543110919911364, 48.8389121444183], [2.2540552440494857, 48.84037924612834]], ""type"": ""LineString""}"
5417;1996-11-05T01:00:00+00:00;2023-01-01T01:00:00+00:00;PI_Courcelles;2270;SI_Asnieres;2736;AI_Champerret;48.88926481478913, 2.295812006937022;"{""coordinates"": [[2.292386753449537, 48.888225177555626], [2.29409931665143, 48.88875746453511], [2.297415527341471, 48.88964998434791], [2.299148328061188, 48.890524987852054]], ""type"": ""LineString""}"
4429;1996-10-15T02:00:00+00:00;2023-01-01T01:00:00+00:00;Quai_Branly;2369;Quai_Branly-Av_Bourdonnais;2368;Quai_Branly-Passerelle_Debilly;48.86124685397266, 2.2964701722035823;"{""coordinates"": [[2.2977266142555663, 48.86180091175777], [2.2968371216213694, 48.86147400831168], [2.296022803256875, 48.86107013302008], [2.295288857235746, 48.8605497643655]], ""type"": ""LineString""}"
6124;1998-04-10T02:00:00+00:00;2023-01-01T01:00:00+00:00;A6A_Y_Orleans_bretelle_4;3153;A6A_Y;3175;SE_A6A-Orleans_bretelle_4;48.81652476360583, 2.3345868832213577;"{""coordinates"": [[2.3304532247770173, 48.81884772679937], [2.3316674305495932, 48.81858933642017], [2.332491498664643, 48.81840219106518], [2.3330818652274505, 48.81813213565216], [2.3338854250786096, 48.81761440558155], [2.3350508115237667, 48.816926936253104], [2.3358735972736913, 48.81670163547406], [2.3364093884501678, 48.81659492134673], [2.336696421521, 48.81623184941678], [2.3360197650504344, 48.81413502455947], [2.3360522881802113, 48.813378595747174], [2.3363414944956586, 48.8125749706367]], ""type"": ""LineString""}"
5931;1997-08-29T02:00:00+00:00;2023-01-01T01:00:00+00:00;SI_A6B_bretelle_1;3080;A6B_Y;2801;SI_A6B;48.816343597926696, 2.3596847706524513;"{""coordinates"": [[2.3635469345598157, 48.81628074810492], [2.3625799118300677, 48.816235816971485], [2.360684816023879, 48.81636849389604], [2.3579795384894444, 48.81657430201901], [2.3572564938439675, 48.81649307943306], [2.3566528875096595, 48.816241927167475], [2.3563960197315916, 48.81601166968582], [2.3561868580948886, 48.815577526372564]], ""type"": ""LineString""}"
978;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;SE_Quai_d'Ivry_bretelle_3;553;Quai_Ivry-AccesSortie BP-Berlier;550;SE_Quai_d'Ivry;48.82576895662718, 2.387665266439282;"{""coordinates"": [[2.3876478986277982, 48.8256223149031], [2.3876826342507655, 48.82591559835126]], ""type"": ""LineString""}"
936;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;AE_Vincennes;3597;AE_Vincennes-1;536;Pte_Vincennes-Acces_PE;48.84737219472274, 2.414990311563609;"{""coordinates"": [[2.414981012378898, 48.847023708404556], [2.41499961074832, 48.84772068104092]], ""type"": ""LineString""}"
